"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"242326",6,21,1,1,NA,2,19,1,22,21,NA,NA,NA,1,9620,1
"611316",10,88,1,NA,NA,2,19,2,22,999,NA,NA,NA,1,NA,1
"422341",6,21,3,NA,1,1,21,2,720,999,6107,NA,742,1,NA,6
"223398",6,69,1,NA,NA,2,15,2,999,999,NA,NA,NA,1,NA,1
"971069",17,52,1,3,NA,2,19,2,32,999,NA,NA,NA,1,430,1
"275887",6,65,1,NA,NA,2,21,1,999,999,2408,NA,NA,1,NA,1
"401724",6,23,1,5,NA,2,19,1,32,82,NA,NA,NA,1,5620,1
"972268",17,45,1,4,NA,2,16,1,902,999,NA,NA,NA,1,3600,2
"193342",6,30,1,1,NA,2,21,1,939,999,6203,NA,NA,1,50,1
"532567",8,32,1,1,NA,2,17,1,999,999,NA,NA,NA,1,6260,1
"59647",4,41,1,1,NA,2,16,1,22,999,NA,NA,NA,1,6230,1
"699754",12,52,1,6,NA,2,19,1,32,999,NA,NA,NA,1,4620,1
"456617",6,46,4,7,2,1,21,2,290,221,2306,NA,625,2,140,1
"1478514",26,23,1,1,NA,2,16,2,21,918,NA,NA,NA,1,4230,1
"234462",6,20,5,4,1,1,19,1,750,999,NA,NA,724,2,4720,6
"831194",13,28,1,2,NA,2,21,2,999,999,1904,NA,NA,1,4600,1
"914692",15,48,1,4,1,1,19,2,811,999,NA,NA,776,1,2310,7
"1037802",17,13,1,NA,NA,2,10,2,924,999,NA,NA,NA,1,NA,1
"1194071",20,48,1,1,NA,2,21,2,32,50,2308,NA,NA,1,5400,1
"14461",1,20,1,1,NA,2,19,2,939,999,NA,NA,NA,1,4720,1
"1174151",20,70,1,1,NA,2,21,1,924,999,6203,NA,NA,1,4810,1
"1272520",22,14,1,NA,NA,2,10,1,939,999,NA,NA,NA,1,NA,1
"1542203",27,54,1,2,NA,2,21,2,111,999,2300,NA,NA,1,2310,1
"312921",6,23,2,1,NA,2,19,2,999,999,NA,NA,NA,1,4600,1
"1298626",23,48,1,1,NA,2,19,2,26,999,NA,NA,NA,1,630,1
"1404176",25,95,4,NA,2,1,9,2,996,999,NA,NA,638,2,NA,1
